nom_programme;numero;rue;cp;ville
BD BARON DU MARAIS;97;BOULEVARD BARON DU MARAIS;42300;ROANNE
RÉSIDENCE LE FORUM;8;RUE JEAN MOULIN;42300;ROANNE
HAUTS DE RIORGES;239;ALLEE DES HAUTS DE RIORGES;42153;RIORGES
ALLEE DU MARCLET ;13;ALLEE DU MARCLET;42153;RIORGES
25-27 RUE MICHELET;27;RUE MICHELET;42120;LE COTEAU
RUE DES GENETS-RUE DES CAPUCINES;14;RUE DES CAPUCINES;42120;LE COTEAU
RES LA ROCHETTE;12;RUE DU FUYANT;42300;ROANNE
RESID ROBERT SAPIN;4;RUE BROSSARD;42300;ROANNE
OREE DU PARC;10;ALLEE DE DONZDORF;42153;RIORGES
GCT RIORGES;79;RUE JEAN ROSTAND;42153;RIORGES
GCT VILLEREST;3;RUE DE BISE;42300;VILLEREST
GCT CCPU;;RUE RENE CASSIN;42430;ST JUST EN CHEVALET
